College,Branch,Category,Rank
E175,EC,2BG,60367
E175,EC,2BK,0
E175,EC,2BR,0
E175,EC,3AG,63169
E175,EC,3AK,0
E175,EC,3AR,0
E175,EC,3BG,52168
E175,EC,3BK,0
E175,EC,3BR,0
E175,EC,GM,50815
E175,EC,GMK,51072
E175,EC,GMR,53612
E175,EC,SCG,150265
E175,EC,SCK,164984
E175,EC,SCR,189701
E175,EC,STG,157646
E175,EC,STK,0
E175,EC,STR,0
E175,EE,1G,0
E175,EE,1K,0
E175,EE,1R,0
E175,EE,2AG,103451
E175,EE,2AK,0
E175,EE,2AR,107122
E175,EE,2BG,142111
E175,EE,2BK,0
E175,EE,2BR,0
E175,EE,3AG,130555
E175,EE,3AK,0
E175,EE,3AR,0
E175,EE,3BG,93340
E175,EE,3BK,0
E175,EE,3BR,0
E175,EE,GM,89853
E175,EE,GMK,0
E175,EE,GMR,93956
E175,EE,SCG,186357
E175,EE,SCK,0
E175,EE,SCR,199733
E175,EE,STG,0
E175,EE,STK,0
E175,EE,STR,0
E175,ME,1G,0
E175,ME,1K,0
E175,ME,1R,0
E175,ME,2AG,0
E175,ME,2AK,0
E175,ME,2AR,0
E175,ME,2BG,0
E175,ME,2BK,0
E175,ME,2BR,0
E175,ME,3AG,0
E175,ME,3AK,0
E175,ME,3AR,0
E175,ME,3BG,0
E175,ME,3BK,0
E175,ME,3BR,0
E175,ME,GM,183388
E175,ME,GMK,0
E175,ME,GMR,0
E175,ME,SCG,0
E175,ME,SCK,0
E175,ME,SCR,0
E175,ME,STG,0
E175,ME,STK,0
E175,ME,STR,0
E176,CE,1G,0
E176,CE,1K,0
E176,CE,1R,0
E176,CE,2AG,0
E176,CE,2AK,0
E176,CE,2AR,0
E176,CE,2BG,0
E176,CE,2BK,0
E176,CE,2BR,0
E176,CE,3AG,0
E176,CE,3AK,0
E176,CE,3AR,0
E176,CE,3BG,0
E176,CE,3BK,0
E176,CE,3BR,0
E176,CE,GM,202246
E176,CE,GMK,0
E176,CE,GMR,0
E176,CE,SCG,0
E176,CE,SCK,0
E176,CE,SCR,0
E176,CE,STG,0
E176,CE,STK,0
E176,CE,STR,0
E176,CS,1G,70371
E176,CS,1K,0
E176,CS,1R,0
E176,CS,2AG,68754
E176,CS,2AK,0
E176,CS,2AR,69282
E176,CS,2BG,71834
E176,CS,2BK,0
E176,CS,2BR,0
E176,CS,3AG,67365
E176,CS,3AK,0
E176,CS,3AR,0
E176,CS,3BG,66403
E176,CS,3BK,0
E176,CS,3BR,0
E176,CS,GM,62477
E176,CS,GMK,0
E176,CS,GMR,64260
E176,CS,SCG,95519
E176,CS,SCK,139902
E176,CS,SCR,115928
E176,CS,STG,84735
E176,CS,STK,0
E176,CS,STR,0
E176,EC,1G,0
E176,EC,1K,0
E176,EC,1R,0
E176,EC,2AG,88327
E176,EC,2AK,0
E176,EC,2AR,0
E176,EC,2BG,101405
E176,EC,2BK,0
E176,EC,2BR,0
E176,EC,3AG,0
E176,EC,3AK,0
E176,EC,3AR,0
E176,EC,3BG,0
E176,EC,3BK,0
E176,EC,3BR,0
E176,EC,GM,87483
E176,EC,GMK,88872
E176,EC,GMR,0
E176,EC,SCG,184598
E176,EC,SCK,0
E176,EC,SCR,0
E176,EC,STG,189338
E176,EC,STK,0
E176,EC,STR,0
E176,EE,1G,0
E176,EE,1K,0
E176,EE,1R,0
E176,EE,2AG,129042
E176,EE,2AK,0
E176,EE,2AR,143933
E176,EE,2BG,129051
E176,EE,2BK,0
E176,EE,2BR,0
E176,EE,3AG,166744
E176,EE,3AK,0
E176,EE,3AR,0
E176,EE,3BG,0
E176,EE,3BK,0
E176,EE,3BR,0
E176,EE,GM,115845
E176,EE,GMK,0
E176,EE,GMR,123613
E176,EE,SCG,189378
E176,EE,SCK,0
E176,EE,SCR,0
E176,EE,STG,0
E176,EE,STK,0
E176,EE,STR,0
E176,ME,1G,0
E176,ME,1K,0
E176,ME,1R,0
E176,ME,2AG,0
E176,ME,2AK,0
E176,ME,2AR,0
E176,ME,2BG,0
E176,ME,2BK,0
E176,ME,2BR,0
E176,ME,3AG,0
E176,ME,3AK,0
E176,ME,3AR,0
E176,ME,3BG,0
E176,ME,3BK,0
E176,ME,3BR,0
E176,ME,GM,195581
E176,ME,GMK,0
E176,ME,GMR,0
E176,ME,SCG,0
E176,ME,SCK,0
E176,ME,SCR,0
E176,ME,STG,0
E176,ME,STK,0
E176,ME,STR,0
E177,CA-CS,1G,77220
E177,CA-CS,1K,0
E177,CA-CS,1R,0
E177,CA-CS,2AG,76157
E177,CA-CS,2AK,0
E177,CA-CS,2AR,104813
E177,CA-CS,2BG,73617
E177,CA-CS,2BK,0
E177,CA-CS,2BR,0
E177,CA-CS,3AG,63777
E177,CA-CS,3AK,0
E177,CA-CS,3AR,0
E177,CA-CS,3BG,67576
E177,CA-CS,3BK,0
E177,CA-CS,3BR,0
E177,CA-CS,GM,63337
E177,CA-CS,GMK,86771
E177,CA-CS,GMR,69744
E177,CA-CS,SCG,167591
E177,CA-CS,SCK,171068
E177,CA-CS,SCR,0
E177,CA-CS,STG,109931
E177,CA-CS,STK,0
E177,CA-CS,STR,0
E177,CE,1G,0
E177,CE,1K,0
E177,CE,1R,0
E177,CE,2AG,0
E177,CE,2AK,0
E177,CE,2AR,0
E177,CE,2BG,0
E177,CE,2BK,0
E177,CE,2BR,0
E177,CE,3AG,169817
E177,CE,3AK,0
E177,CE,3AR,0
E177,CE,3BG,0
E177,CE,3BK,0
E177,CE,3BR,0
E177,CE,GM,168236
E177,CE,GMK,0
E177,CE,GMR,180616
E177,CE,SCG,192007
E177,CE,SCK,0
E177,CE,SCR,0
E177,CE,STG,0
E177,CE,STK,0
E177,CE,STR,0
E177,CS,1G,54447
E177,CS,1K,0
E177,CS,1R,0
E177,CS,2AG,54226
E177,CS,2AK,0
E177,CS,2AR,57603
E177,CS,2BG,50107
E177,CS,2BK,0
E177,CS,2BR,0
E177,CS,3AG,42971
E177,CS,3AK,0
E177,CS,3AR,0
E177,CS,3BG,43622
E177,CS,3BK,0
E177,CS,3BR,57243
E177,CS,GM,42015
E177,CS,GMK,52338
E177,CS,GMR,49319
E177,CS,SCG,95324
E177,CS,SCK,101997
E177,CS,SCR,102974
E177,CS,STG,110857
E177,CS,STK,0
E177,CS,STR,135014
E177,EC,1G,71080
E177,EC,1K,0
E177,EC,1R,0
E177,EC,2AG,74722
E177,EC,2AK,98148
E177,EC,2AR,80901
E177,EC,2BG,78040
E177,EC,2BK,0
E177,EC,2BR,0
E177,EC,3AG,69228
E177,EC,3AK,0
E177,EC,3AR,0
E177,EC,3BG,66704
E177,EC,3BK,0
E177,EC,3BR,68686
E177,EC,GM,64024
E177,EC,GMK,79730
E177,EC,GMR,67098
E177,EC,SCG,135333
E177,EC,SCK,0
E177,EC,SCR,153615
E177,EC,STG,180907
E177,EC,STK,0
E177,EC,STR,181420
E177,EE,1G,103143
E177,EE,1K,0
E177,EE,1R,0
E177,EE,2AG,110495
E177,EE,2AK,0
E177,EE,2AR,0
E177,EE,2BG,134968
E177,EE,2BK,0
E177,EE,2BR,0
E177,EE,3AG,102089
E177,EE,3AK,0
E177,EE,3AR,0
E177,EE,3BG,97125
E177,EE,3BK,0
E177,EE,3BR,0
E177,EE,GM,95351
E177,EE,GMK,0
E177,EE,GMR,102084
E177,EE,SCG,168194
E177,EE,SCK,0
E177,EE,SCR,0
E177,EE,STG,193262
E177,EE,STK,0
E177,EE,STR,0
E177,EV-EC,1G,165084
E177,EV-EC,1K,0
E177,EV-EC,1R,0
E177,EV-EC,2AG,191424
E177,EV-EC,2AK,0
E177,EV-EC,2AR,0
E177,EV-EC,2BG,0
E177,EV-EC,2BK,0
E177,EV-EC,2BR,0
E177,EV-EC,3AG,149922
E177,EV-EC,3AK,0
E177,EV-EC,3AR,0
E177,EV-EC,3BG,158927
E177,EV-EC,3BK,0
E177,EV-EC,3BR,0
E177,EV-EC,GM,148314
E177,EV-EC,GMK,0
E177,EV-EC,GMR,164730
E177,EV-EC,SCG,196309
E177,EV-EC,SCK,0
E177,EV-EC,SCR,0
E177,EV-EC,STG,0
E177,EV-EC,STK,0
E177,EV-EC,STR,0
E177,IE,1G,74836
E177,IE,1K,0
E177,IE,1R,0
E177,IE,2AG,62938
E177,IE,2AK,0
E177,IE,2AR,66513
E177,IE,2BG,63419
E177,IE,2BK,0
E177,IE,2BR,0
E177,IE,3AG,55685
E177,IE,3AK,0
E177,IE,3AR,0
E177,IE,3BG,54588
E177,IE,3BK,0
E177,IE,3BR,0
E177,IE,GM,53629
E177,IE,GMK,65660
E177,IE,GMR,59769
E177,IE,SCG,114365
E177,IE,SCK,0
E177,IE,SCR,137353
E177,IE,STG,147517
E177,IE,STK,0
E177,IE,STR,0
E177,ME,1G,0
E177,ME,1K,0
